x,y,label
258.0,362.0,0.0
255.0,363.0,0.0
243.0,365.0,0.0
239.0,366.0,0.0
233.0,366.0,0.0
228.0,366.0,0.0
226.0,366.0,0.0
223.0,366.0,0.0
221.0,365.0,0.0
219.0,364.0,0.0
218.0,363.0,0.0
213.0,359.0,0.0
213.0,358.0,0.0
207.0,350.0,0.0
206.0,346.0,0.0
203.0,334.0,0.0
201.0,326.0,0.0
196.0,308.0,0.0
193.0,301.0,0.0
187.0,283.0,0.0
184.0,276.0,0.0
179.0,262.0,0.0
177.0,256.0,0.0
174.0,244.0,0.0
174.0,240.0,0.0
174.0,234.0,0.0
174.0,228.0,0.0
179.0,214.0,0.0
179.0,213.0,0.0
182.0,206.0,0.0
183.0,204.0,0.0
184.0,202.0,0.0
187.0,197.0,0.0
189.0,194.0,0.0
192.0,191.0,0.0
197.0,188.0,0.0
198.0,187.0,0.0
210.0,179.0,0.0
216.0,176.0,0.0
220.0,174.0,0.0
225.0,174.0,0.0
230.0,174.0,0.0
231.0,174.0,0.0
244.0,177.0,0.0
256.0,180.0,0.0
270.0,184.0,0.0
274.0,185.0,0.0
284.0,188.0,0.0
296.0,191.0,0.0
297.0,192.0,0.0
299.0,193.0,0.0
300.0,194.0,0.0
302.0,194.0,0.0
306.0,196.0,0.0
306.0,197.0,0.0
307.0,197.0,0.0
308.0,198.0,0.0
312.0,204.0,0.0
314.0,207.0,0.0
319.0,218.0,0.0
320.0,221.0,0.0
329.0,235.0,0.0
333.0,241.0,0.0
335.0,244.0,0.0
337.0,247.0,0.0
337.0,249.0,0.0
338.0,253.0,0.0
338.0,255.0,0.0
338.0,261.0,0.0
337.0,263.0,0.0
334.0,271.0,0.0
332.0,275.0,0.0
331.0,277.0,0.0
329.0,279.0,0.0
327.0,281.0,0.0
322.0,286.0,0.0
320.0,289.0,0.0
313.0,295.0,0.0
311.0,296.0,0.0
301.0,304.0,0.0
300.0,305.0,0.0
291.0,310.0,0.0
289.0,311.0,0.0
282.0,314.0,0.0
273.0,318.0,0.0
263.0,320.0,0.0
